system:index,cellCount,psim_id,scym9,state,year,yield_tha,yield_tha_noW,.geo
00000000000000003382,74585,36100.0,1.0,IN,2011,3785,3805,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003383,74586,36101.0,1.0,IN,2011,8996,9036,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003384,74597,36102.0,1.0,IN,2011,12239,12215,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003385,74579,36103.0,1.0,IN,2011,7360,7324,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003439,74678,36340.0,1.0,IN,2011,27183,26747,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000343a,74718,36341.0,1.0,IN,2011,26166,25103,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000343b,74666,36342.0,1.0,IN,2011,29538,29082,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000343c,74670,36344.0,1.0,IN,2011,18632,18508,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000343d,74675,36345.0,1.0,IN,2011,19407,19207,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000343e,74669,36346.0,1.0,IN,2011,18905,18911,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000343f,74677,36347.0,1.0,IN,2011,20709,20631,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003440,74671,36348.0,1.0,IN,2011,12634,12494,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003441,74675,36349.0,1.0,IN,2011,22179,22181,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003442,74675,36350.0,1.0,IN,2011,17449,17459,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003443,74707,36351.0,1.0,IN,2011,10839,10814,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003444,74673,36352.0,1.0,IN,2011,1280,1251,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003445,74669,36353.0,1.0,IN,2011,1529,1494,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003446,74679,36354.0,1.0,IN,2011,3239,3267,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003447,74677,36355.0,1.0,IN,2011,3466,3444,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003448,74675,36356.0,1.0,IN,2011,9645,9577,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003449,74671,36357.0,1.0,IN,2011,16822,16937,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000344a,74683,36358.0,1.0,IN,2011,17230,17231,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000344b,74671,36359.0,1.0,IN,2011,10139,10180,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000344c,74678,36360.0,1.0,IN,2011,6496,6427,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000344d,74674,36361.0,1.0,IN,2011,3909,3915,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000344e,74719,36362.0,1.0,IN,2011,1146,1117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000344f,74674,36363.0,1.0,IN,2011,2734,2738,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003450,74670,36364.0,1.0,IN,2011,3403,3407,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003451,74675,36365.0,1.0,IN,2011,4304,4262,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003452,74669,36366.0,1.0,IN,2011,11662,11631,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003453,74666,36367.0,1.0,IN,2011,7785,7655,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000034ff,74761,36603.0,1.0,IN,2011,28572,27491,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003500,74749,36604.0,1.0,IN,2011,24022,10144,"{""type"":""MultiPoint"",""coordinates"":[]}"
